,Screen_name,Name,Number_of_Followers,Location,Url,description,profile_image,Category
11,@MomsWhoSave,MomsWhoSave.com,114720.0,United States,http://t.co/hS3vk417pd,#Lifestyle #Family #Food #Travel #Reviews #Blogger and #TwitterParty host | contact: pr@momswhosave.com. Everywhere @ MomsWhoSave.,https://pbs.twimg.com/profile_images/1343333045366104065/g0RJaw5Z_normal.jpg,Food
12,@Veganella_,Veganella 🥦,30518.0,,https://t.co/xA8J3TD3hJ,It takes nothing away from a human to be kind to an animal 🌱✌🏼🌍 She/her 😊,https://pbs.twimg.com/profile_images/1324645573803319298/YoNNArsQ_normal.jpg,Food
17,@researchmrx,MRX,7457.0,New Jersey,,"Fine-tuning our vision, products, and services for a plant-based economy. #medicalmarijuana #wellness #plantbased #cannabis",https://pbs.twimg.com/profile_images/1082501359629287424/wxvBLPtH_normal.jpg,Food
19,@BrendaOak4,Brenda Marsh,11954.0,"Fort Wayne, IN",https://t.co/pxwxlpKroM,"Etsy Shop Hand Painted Porcelain and Vintage 
 https://t.co/pxwxlpKroM",https://pbs.twimg.com/profile_images/563169873522466816/2S7a5Sqs_normal.jpeg,Food
21,@veganfamily,VeganFamily,19684.0,Scotland,https://t.co/50j1KZOZb6,"Vegan Family House - https://t.co/qItdM7PWEo Recipes, books, photos, reviews. Vegan for 23 years.",https://pbs.twimg.com/profile_images/1667521869/creamtom_normal.jpg,Food
22,@Gambiste1,Joe Gambiste,11611.0,,https://t.co/qo0E93oDSt,"Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. Find hot stocks with @GambisteFinance.",https://pbs.twimg.com/profile_images/1283519597640122368/X8uTqLDm_normal.jpg,Food
23,@NightHelperBlog,LisaLisa C,32408.0,Midwest,https://t.co/8pdTz8XO1I,"Wears many hats: #Mom, #Wife, #Inventor, #LoverofGod, #MIBlogger, #BrandAmbassador #TwitterPartygal #Entertainment #TravelBlogger #SocialMedia #Tech #Reviewer",https://pbs.twimg.com/profile_images/1080155045310672897/GCmIZeAb_normal.jpg,Food
24,@veganposters,Vegan Posters,8313.0,Compassionsville,https://t.co/1WmW3arcFx,We've made a bunch of awesome vegan posters for you. Please share them far and wide and follow us for the latest.,https://pbs.twimg.com/profile_images/905025394969063426/X-gvBjet_normal.jpg,Food
25,@aceonlineorg,ACEonline.org,9089.0,USA,https://t.co/MwYConKi7z,"ACE is a non-profit organization with 6,000+ members dedicated to the preservation, promotion, appreciation & safe enjoyment of roller coasters. 🎢 #RideWithACE",https://pbs.twimg.com/profile_images/930693227207852032/FELydbJF_normal.jpg,Food
27,@_AnimalAdvocate,ANIMAL ADVOCATE  Ⓥ,79298.0,An earthling. Aren't we all?,http://t.co/Agx40oLtIR,"💖 An uncompromising voice for the voiceless 🐬💕
Making #films for #animals. A #vegan trying to put #compassion into action💖 If not us, who? If not now, when?",https://pbs.twimg.com/profile_images/378800000033292373/e3662cd7ba944e6cc69bdac0fd306d4c_normal.jpeg,Food
